Source,frac
<unknown>,31.4014251781473
AZLyrics.com,38.7648456057007
DarkLyrics.com,35.9144893111639
Genius.com,41.8052256532067
Local files,78.6223277909739
Metadata tags,74.1092636579572
Musixmatch,26.1757719714964
NetEase Online Music,73.2066508313539
QQ Music,74.4893111638955
