autoedit,frac
Fix bad timestamps,8.74109263657957
Remove all blanks,2.47030878859857
Remove repeat blanks,6.65083135391924
Remove repeat spaces,7.41092636579572
Remove timestamps,0.997624703087886
Replace HTML characters,99.0973871733967
Reset capitalisation,1.47268408551069

